label,param_name,param_value,index,seed,acc,auc,ce
CORR_METRIC,corr_metric,distcorr,0,123,78.57142857142857,93.87755102040816,0.9888502258920815
CORR_METRIC,corr_metric,distcorr,1,124,64.28571428571429,97.32620320855615,1.4381983020736178
CORR_METRIC,corr_metric,distcorr,2,125,82.14285714285714,85.38011695906432,1.078154469919777
CORR_METRIC,corr_metric,distcorr,3,126,85.71428571428571,93.88888888888889,0.8668083239556381
CORR_METRIC,corr_metric,distcorr,4,127,75.0,93.33333333333333,1.086539477673146
CORR_METRIC,corr_metric,distcorr,5,128,75.0,92.22222222222223,0.5797067210646674
CORR_METRIC,corr_metric,distcorr,6,129,71.42857142857143,92.3076923076923,1.5314913168992916
CORR_METRIC,corr_metric,distcorr,7,130,57.14285714285714,92.85714285714286,0.963271361410859
CORR_METRIC,corr_metric,distcorr,8,131,50.0,88.26530612244898,1.3764102643472143
CORR_METRIC,corr_metric,distcorr,9,132,60.71428571428571,90.25641025641026,1.5406936269506073
CORR_METRIC,corr_metric,pearson,0,123,75.0,97.44897959183673,0.7724476689483514
CORR_METRIC,corr_metric,pearson,1,124,71.42857142857143,97.32620320855614,1.1825960025580733
CORR_METRIC,corr_metric,pearson,2,125,82.14285714285714,89.47368421052632,0.8953163427551901
CORR_METRIC,corr_metric,pearson,3,126,85.71428571428571,93.88888888888889,0.8814180758180166
CORR_METRIC,corr_metric,pearson,4,127,75.0,83.88888888888889,1.3549835345758245
CORR_METRIC,corr_metric,pearson,5,128,82.14285714285714,96.66666666666666,0.43857541442412185
CORR_METRIC,corr_metric,pearson,6,129,75.0,88.71794871794872,1.6597402308284228
CORR_METRIC,corr_metric,pearson,7,130,64.28571428571429,93.87755102040816,0.8927080950254874
CORR_METRIC,corr_metric,pearson,8,131,50.0,90.81632653061224,1.2377060731689977
CORR_METRIC,corr_metric,pearson,9,132,57.14285714285714,92.82051282051282,1.421864184846137
CORR_METRIC,corr_metric,bc,0,123,67.85714285714286,95.40816326530613,1.1405156689180882
CORR_METRIC,corr_metric,bc,1,124,64.28571428571429,98.39572192513369,1.0474967779404583
CORR_METRIC,corr_metric,bc,2,125,89.28571428571429,91.81286549707603,0.9708003861489131
CORR_METRIC,corr_metric,bc,3,126,89.28571428571429,97.77777777777776,0.6992254411118536
CORR_METRIC,corr_metric,bc,4,127,75.0,90.55555555555556,1.223229962805947
CORR_METRIC,corr_metric,bc,5,128,78.57142857142857,95.55555555555556,0.5067822917583596
CORR_METRIC,corr_metric,bc,6,129,75.0,85.64102564102565,1.706244612042326
CORR_METRIC,corr_metric,bc,7,130,60.71428571428571,93.87755102040816,0.8128796788670505
CORR_METRIC,corr_metric,bc,8,131,50.0,90.81632653061224,1.2960030467947945
CORR_METRIC,corr_metric,bc,9,132,64.28571428571429,88.20512820512822,1.499791151962979
CORR_METRIC,corr_metric,cos,0,123,75.0,92.85714285714286,0.9603510151827582
CORR_METRIC,corr_metric,cos,1,124,75.0,100.0,0.9185642266082336
CORR_METRIC,corr_metric,cos,2,125,82.14285714285714,91.81286549707602,0.8976806271934136
CORR_METRIC,corr_metric,cos,3,126,78.57142857142857,96.11111111111111,0.6893890188926305
CORR_METRIC,corr_metric,cos,4,127,71.42857142857143,88.88888888888889,1.1955898671660958
CORR_METRIC,corr_metric,cos,5,128,82.14285714285714,96.11111111111111,0.5781819020443046
CORR_METRIC,corr_metric,cos,6,129,71.42857142857143,89.74358974358975,1.6986645420511846
CORR_METRIC,corr_metric,cos,7,130,50.0,94.38775510204083,0.8470827731372472
CORR_METRIC,corr_metric,cos,8,131,50.0,86.73469387755102,1.3955057089208691
CORR_METRIC,corr_metric,cos,9,132,64.28571428571429,90.76923076923077,1.5035771905313595
CORR_METRIC,corr_metric,js,0,123,82.14285714285714,95.91836734693877,0.9117104891033705
CORR_METRIC,corr_metric,js,1,124,71.42857142857143,99.46524064171123,0.7823399994146192
CORR_METRIC,corr_metric,js,2,125,85.71428571428571,92.39766081871345,0.937798001749554
CORR_METRIC,corr_metric,js,3,126,85.71428571428571,95.55555555555554,0.667429026172629
CORR_METRIC,corr_metric,js,4,127,75.0,83.88888888888889,1.4421307368908987
CORR_METRIC,corr_metric,js,5,128,75.0,92.22222222222221,0.5776145375992721
CORR_METRIC,corr_metric,js,6,129,82.14285714285714,89.74358974358975,1.509618759691372
CORR_METRIC,corr_metric,js,7,130,60.71428571428571,93.87755102040816,0.7958580695184148
CORR_METRIC,corr_metric,js,8,131,50.0,88.26530612244898,1.337189884498782
CORR_METRIC,corr_metric,js,9,132,57.14285714285714,90.25641025641026,1.382607060666487
