label,param_name,param_value,index,seed,acc,auc,ce
STEP_SIZE,step_size,1,0,123,92.85714285714286,95.91836734693878,0.6087861545436876
STEP_SIZE,step_size,1,1,124,75.0,95.18716577540107,0.9145144692585389
STEP_SIZE,step_size,1,2,125,96.42857142857143,100.0,0.10062062216741197
STEP_SIZE,step_size,1,3,126,85.71428571428571,96.11111111111111,0.42950393750131916
STEP_SIZE,step_size,1,4,127,85.71428571428571,95.55555555555554,0.28454368362645255
STEP_SIZE,step_size,1,5,128,85.71428571428571,100.0,0.28635058720900425
STEP_SIZE,step_size,1,6,129,85.71428571428571,100.0,0.7743350863489452
STEP_SIZE,step_size,1,7,130,60.71428571428571,100.0,0.7504541324212498
STEP_SIZE,step_size,1,8,131,50.0,94.89795918367348,0.8113989249520402
STEP_SIZE,step_size,1,9,132,64.28571428571429,94.35897435897436,0.8861818224572094
STEP_SIZE,step_size,2,0,123,82.14285714285714,94.89795918367348,0.9059842550604377
STEP_SIZE,step_size,2,1,124,67.85714285714286,95.72192513368984,1.113185596960534
STEP_SIZE,step_size,2,2,125,82.14285714285714,87.13450292397661,1.0976380470316858
STEP_SIZE,step_size,2,3,126,82.14285714285714,96.1111111111111,0.760321726897668
STEP_SIZE,step_size,2,4,127,75.0,91.11111111111111,1.2152417862753282
STEP_SIZE,step_size,2,5,128,71.42857142857143,90.0,0.7871785855906767
STEP_SIZE,step_size,2,6,129,67.85714285714286,91.28205128205128,1.565447300683169
STEP_SIZE,step_size,2,7,130,64.28571428571429,92.85714285714286,1.0046205057333282
STEP_SIZE,step_size,2,8,131,50.0,88.77551020408163,1.3660899418256511
STEP_SIZE,step_size,2,9,132,60.71428571428571,89.23076923076924,1.4064213249013326
STEP_SIZE,step_size,3,0,123,78.57142857142857,88.77551020408163,1.347625599081815
STEP_SIZE,step_size,3,1,124,67.85714285714286,88.23529411764706,1.2453584022290767
STEP_SIZE,step_size,3,2,125,85.71428571428571,93.56725146198829,0.9785913086557068
STEP_SIZE,step_size,3,3,126,75.0,93.88888888888889,1.0097932758507926
STEP_SIZE,step_size,3,4,127,75.0,93.88888888888889,0.833748186235815
STEP_SIZE,step_size,3,5,128,75.0,88.61111111111111,1.1866707718301899
STEP_SIZE,step_size,3,6,129,60.71428571428571,97.94871794871796,1.7298061492859915
STEP_SIZE,step_size,3,7,130,60.71428571428571,91.3265306122449,1.3085239559638597
STEP_SIZE,step_size,3,8,131,50.0,90.81632653061224,1.179503898818179
STEP_SIZE,step_size,3,9,132,64.28571428571429,90.25641025641026,1.8742925863449014
