index,seed,acc,auc,ce

0,123,66.66666666666666,92.1875,0.5959062125119898
5,11302,83.33333333333334,90.71207430340557,0.4750513951811526
6,54697,83.33333333333334,91.9753086419753,0.5208692053953806
7,23569,75.0,82.8125,0.5294556783305274
8,93916,83.33333333333334,89.9665551839465,0.44780221747027504
9,71587,77.77777777777779,87.30650154798761,0.49500439398818546
10,13722,75.0,99.69040247678018,0.4868265907797549
11,83616,77.77777777777779,89.47368421052633,0.4998578859700097
12,88414,80.55555555555556,85.71428571428572,0.49183601410024697
13,48185,88.88888888888889,94.28571428571428,0.4095267264379395
14,72378,69.44444444444444,83.125,0.5492392049895393
15,63655,86.11111111111111,89.47368421052632,0.5048030192653338
16,7845,72.22222222222221,90.40247678018576,0.5317337049378289
17,85874,86.11111111111111,87.96296296296296,0.4893876728084352
18,34314,72.22222222222221,84.2809364548495,0.5411695651710033
19,4444,83.33333333333334,87.8125,0.5455149801241027
20,55325,72.22222222222221,85.07936507936509,0.5563143781489797
21,97588,77.77777777777779,88.27160493827161,0.5274886983550258
22,81585,75.0,86.687306501548,0.5088932630088594
23,23692,66.66666666666666,82.35294117647058,0.5828834333353572
24,66380,77.77777777777779,91.02167182662538,0.49035170798500377
25,33219,80.55555555555556,87.61904761904762,0.5150731553634008
3,98888,80.55555555555556,81.42414860681114,0.5066182729270723
1,95693,77.77777777777779,88.96103896103897,0.5488719137178527
2,86261,75.0,84.12698412698414,0.534404221094317
4,24408,80.55555555555556,93.65079365079364,0.45207401944531334
