label,param_name,param_value,index,seed,acc,auc,ce
CORR_METRIC,corr_metric,distcorr,0,124,88.09523809523809,92.21967963386729,0.44681219047024134
CORR_METRIC,corr_metric,distcorr,1,125,83.33333333333334,89.1764705882353,0.458049177413895
CORR_METRIC,corr_metric,distcorr,2,126,85.71428571428571,91.34615384615385,0.4511365847928183
CORR_METRIC,corr_metric,distcorr,3,127,85.71428571428571,92.83819628647215,0.4657295747172265
CORR_METRIC,corr_metric,distcorr,4,128,80.95238095238095,89.35185185185185,0.5024948936133158
CORR_METRIC,corr_metric,distcorr,5,129,90.47619047619048,93.59267734553775,0.41575715974682853
CORR_METRIC,corr_metric,distcorr,6,131,78.57142857142857,86.04118993135012,0.5219753675517582
CORR_METRIC,corr_metric,distcorr,7,132,69.04761904761905,92.27272727272727,0.5673351550386065
CORR_METRIC,corr_metric,distcorr,8,133,71.42857142857143,87.5,0.5669413400547845
CORR_METRIC,corr_metric,distcorr,9,134,83.33333333333334,89.54545454545455,0.4596186943707012
CORR_METRIC,corr_metric,distcorr,10,135,73.80952380952381,86.59090909090908,0.5130298084446362
CORR_METRIC,corr_metric,distcorr,11,136,73.80952380952381,81.36363636363636,0.5724580351795469
CORR_METRIC,corr_metric,distcorr,12,137,76.19047619047619,93.26923076923077,0.49933997364271254
CORR_METRIC,corr_metric,distcorr,13,139,83.33333333333334,91.10576923076923,0.46849343393530163
CORR_METRIC,corr_metric,distcorr,14,140,83.33333333333334,94.21296296296296,0.4758762185062681
CORR_METRIC,corr_metric,distcorr,15,141,92.85714285714286,95.22727272727273,0.3672418055080232
CORR_METRIC,corr_metric,distcorr,16,141,90.47619047619048,95.49071618037136,0.44558867031619664
CORR_METRIC,corr_metric,distcorr,17,142,78.57142857142857,87.04545454545453,0.549565579919588
CORR_METRIC,corr_metric,distcorr,18,144,76.19047619047619,86.36363636363636,0.49924670727480025
CORR_METRIC,corr_metric,distcorr,19,145,71.42857142857143,80.58823529411764,0.5780379669297309
CORR_METRIC,corr_metric,distcorr,20,146,80.95238095238095,84.69135802469137,0.5738924181177503
CORR_METRIC,corr_metric,distcorr,21,148,80.95238095238095,93.33333333333333,0.49368761763686225
CORR_METRIC,corr_metric,distcorr,22,149,88.09523809523809,93.05555555555556,0.4290785534041269
CORR_METRIC,corr_metric,distcorr,23,149,85.71428571428571,89.24485125858124,0.4329280193362917
CORR_METRIC,corr_metric,distcorr,24,150,80.95238095238095,79.8469387755102,0.5427113657905942
CORR_METRIC,corr_metric,distcorr,25,151,78.57142857142857,93.17647058823529,0.47534402921086266
CORR_METRIC,corr_metric,distcorr,26,152,88.09523809523809,91.89814814814815,0.45167116324106854
CORR_METRIC,corr_metric,distcorr,27,153,78.57142857142857,90.27777777777779,0.5204789503699258
CORR_METRIC,corr_metric,distcorr,28,156,90.47619047619048,93.86363636363636,0.4656574392602557
CORR_METRIC,corr_metric,distcorr,0,124,83.33333333333334,93.36384439359269,0.4559118708684331
CORR_METRIC,corr_metric,distcorr,1,125,80.95238095238095,89.88235294117646,0.4713454729034787
CORR_METRIC,corr_metric,distcorr,2,126,85.71428571428571,90.3846153846154,0.4748229306368601
CORR_METRIC,corr_metric,distcorr,3,127,85.71428571428571,93.36870026525199,0.46153609738463447
CORR_METRIC,corr_metric,distcorr,4,128,78.57142857142857,88.19444444444444,0.5007796720379875
CORR_METRIC,corr_metric,distcorr,5,129,95.23809523809523,95.19450800915332,0.4013854371649878
CORR_METRIC,corr_metric,distcorr,6,130,85.71428571428571,88.10068649885582,0.5260900940213885
CORR_METRIC,corr_metric,distcorr,7,132,83.33333333333334,91.10576923076923,0.4605147966316768
CORR_METRIC,corr_metric,distcorr,8,133,88.09523809523809,93.82151029748285,0.43299411414634614
CORR_METRIC,corr_metric,distcorr,9,134,83.33333333333334,90.22727272727273,0.4644311247836976
CORR_METRIC,corr_metric,distcorr,10,135,78.57142857142857,87.04545454545453,0.5092214037265096
CORR_METRIC,corr_metric,distcorr,11,136,73.80952380952381,80.0,0.5617439157906032
CORR_METRIC,corr_metric,distcorr,12,137,73.80952380952381,84.70588235294119,0.5191856306933221
CORR_METRIC,corr_metric,distcorr,13,138,85.71428571428571,94.9074074074074,0.5303807251510166
CORR_METRIC,corr_metric,distcorr,14,140,88.09523809523809,93.36384439359267,0.4472367813189824
CORR_METRIC,corr_metric,distcorr,15,141,90.47619047619048,95.22727272727273,0.41953270775931223
CORR_METRIC,corr_metric,distcorr,16,141,92.85714285714286,96.28647214854111,0.4282484842198236
CORR_METRIC,corr_metric,distcorr,17,142,80.95238095238095,86.81818181818181,0.5414954062019076
CORR_METRIC,corr_metric,distcorr,18,144,76.19047619047619,86.81818181818181,0.49116503695646924
CORR_METRIC,corr_metric,distcorr,19,145,71.42857142857143,80.70588235294119,0.5803283289784477
CORR_METRIC,corr_metric,distcorr,20,146,78.57142857142857,86.17283950617283,0.5774214402550742
